	route	count
0	main	8184
1	main-archive	1113
2	main-rabota	1047
3	main-internet	897
4	main-bonus	870
5	main-news	769
6	main-tariffs	677
7	main-online	587
8	main-vklad	518
9	main-rabota-archive	170
10	main-archive-rabota	167
11	main-bonus-archive	143
12	main-rabota-bonus	138
13	main-bonus-rabota	136
14	main-news-rabota	135
15	main-archive-internet	132
16	main-rabota-news	130
17	main-internet-rabota	129
18	main-archive-news	126
19	main-rabota-internet	124
20	main-internet-archive	123
21	main-archive-bonus	117
22	main-internet-bonus	115
23	main-tariffs-internet	114
24	main-news-archive	113
25	main-news-internet	109
26	main-archive-tariffs	104
27	main-tariffs-archive	103
28	main-internet-news	103
29	main-rabota-main	94
